id,client_send,client_rcv
1,1604980947.564957,1604980947.763937
2,1604980947.764097,1604980947.958885
3,1604980947.958998,1604980948.164321
4,1604980948.165018,1604980948.377966
5,1604980948.378095,1604980948.559082
6,1604980948.559233,1604980948.768448
7,1604980948.768653,1604980948.964256
8,1604980948.9644,1604980949.164932
9,1604980949.25878,1604980949.383357
10,1604980949.383483,1604980949.658654
11,1604980949.658777,1604980950.064151
12,1604980950.064268,1604980950.597957
13,1604980950.598092,1604980950.864452
14,1604980950.864659,1604980951.06391
15,1604980951.064296,1604980951.258696
16,1604980951.258853,1604980951.417926
17,1604980951.418166,1604980951.664029
18,1604980951.664741,1604980951.858708
19,1604980951.858836,1604980952.258641
20,1604980952.258887,1604980952.443282
21,1604980952.443397,1604980952.65874
22,1604980952.659056,1604980952.859553
23,1604980952.859701,1604980953.058779
24,1604980953.058937,1604980953.268342
25,1604980953.268452,1604980953.467945
26,1604980953.468073,1604980953.764012
27,1604980953.764156,1604980954.258972
28,1604980954.25933,1604980954.49286
29,1604980954.492991,1604980954.758666
