id,client_send,client_rcv
1,1604983149.546734,1604983149.839579
2,1604983149.839761,1604983150.566605
3,1604983150.566745,1604983150.839442
4,1604983150.83961,1604983151.039498
5,1604983151.039658,1604983151.240703
6,1604983151.240835,1604983151.385045
7,1604983151.385407,1604983151.63977
8,1604983151.640381,1604983151.839457
9,1604983151.840008,1604983152.039445
10,1604983152.039657,1604983152.408551
11,1604983152.408672,1604983152.644735
12,1604983152.644897,1604983153.04459
13,1604983153.044845,1604983153.239628
14,1604983153.240426,1604983153.43386
15,1604983153.43397,1604983153.851701
16,1604983153.85197,1604983154.13946
17,1604983154.139706,1604983154.459045
18,1604983154.459172,1604983154.744745
19,1604983154.744904,1604983155.239463
20,1604983155.239607,1604983155.479782
21,1604983155.479907,1604983155.744914
22,1604983155.745034,1604983155.939583
23,1604983155.945361,1604983156.139681
24,1604983156.146725,1604983156.341175
25,1604983156.341255,1604983156.53946
26,1604983156.539917,1604983156.839663
