id,server_rcv,server_send
1,1604983732.755275,1604983732.755292
2,1604983732.960771,1604983732.96079
3,1604983733.165345,1604983733.165362
4,1604983733.36947,1604983733.369488
5,1604983733.779423,1604983733.779441
6,1604983733.984611,1604983733.984628
7,1604983734.249399,1604983734.249418
8,1604983734.364949,1604983734.364969
9,1604983734.599303,1604983734.59932
10,1604983734.803304,1604983734.803322
11,1604983735.008134,1604983735.008153
12,1604983735.213255,1604983735.213275
13,1604983735.417483,1604983735.417503
14,1604983735.622838,1604983735.622857
15,1604983735.827554,1604983735.827572
16,1604983736.237254,1604983736.237275
17,1604983736.441856,1604983736.441876
18,1604983736.851789,1604983736.851806
19,1604983737.260997,1604983737.261017
20,1604983737.466467,1604983737.466485
21,1604983737.67074,1604983737.67076
22,1604983737.875334,1604983737.875352
23,1604983738.048653,1604983738.04867
24,1604983738.284803,1604983738.284822
25,1604983738.489107,1604983738.489124
26,1604983738.694634,1604983738.694653
27,1604983739.104506,1604983739.104538
