id,server_rcv,server_send
1,1604977565.807401,1604977565.807422
2,1604977566.216392,1604977566.216413
3,1604977566.421253,1604977566.421274
4,1604977566.830378,1604977566.830398
5,1604977567.034942,1604977567.034952
6,1604977567.239701,1604977567.239725
7,1604977567.649764,1604977567.649784
8,1604977567.854294,1604977567.854318
9,1604977568.059022,1604977568.059031
10,1604977568.264223,1604977568.264247
11,1604977568.46969,1604977568.46971
12,1604977568.674663,1604977568.674687
13,1604977568.879096,1604977568.879116
14,1604977569.007685,1604977569.007704
15,1604977569.376002,1604977569.376021
16,1604977569.54149,1604977569.541517
17,1604977569.902665,1604977569.902685
18,1604977570.312556,1604977570.312576
19,1604977570.517305,1604977570.517327
20,1604977570.713243,1604977570.713263
21,1604977570.926713,1604977570.926733
22,1604977571.131862,1604977571.13188
23,1604977571.336622,1604977571.336642
24,1604977571.5405,1604977571.54052
25,1604977571.950809,1604977571.95083
26,1604977572.155834,1604977572.155851
27,1604977572.359956,1604977572.359976
28,1604977572.564753,1604977572.564774
29,1604977572.769692,1604977572.769712
30,1604977572.973181,1604977572.973207
31,1604977573.17926,1604977573.17928
32,1604977573.383817,1604977573.38384
33,1604977573.589405,1604977573.589425
34,1604977573.793776,1604977573.793796
35,1604977574.203026,1604977574.203046
36,1604977574.407526,1604977574.407543
37,1604977574.817294,1604977574.817312
38,1604977575.022076,1604977575.022083
39,1604977575.227459,1604977575.227476
40,1604977575.43225,1604977575.432268
41,1604977575.637843,1604977575.637863
42,1604977575.842428,1604977575.842448
43,1604977576.04671,1604977576.046719
44,1604977576.251385,1604977576.251407
45,1604977576.508604,1604977576.508623
46,1604977576.707335,1604977576.707355
47,1604977577.070792,1604977577.0708
48,1604977577.274861,1604977577.274881
49,1604977577.480667,1604977577.480687
50,1604977577.685574,1604977577.685595
51,1604977578.09456,1604977578.094573
52,1604977578.299367,1604977578.299387
53,1604977578.709102,1604977578.709123
54,1604977579.118517,1604977579.118528
55,1604977579.323673,1604977579.323694
56,1604977579.528331,1604977579.528349
57,1604977579.709582,1604977579.709602
58,1604977579.907277,1604977579.907296
59,1604977580.142282,1604977580.14229
