id,server_rcv,server_send
1,1604978663.330073,1604978663.330091
2,1604978663.534699,1604978663.534719
3,1604978663.739855,1604978663.739867
4,1604978663.944449,1604978663.944469
5,1604978664.149269,1604978664.149289
6,1604978664.354568,1604978664.354588
7,1604978664.558562,1604978664.558581
8,1604978664.763865,1604978664.763885
9,1604978665.172342,1604978665.172363
10,1604978665.377753,1604978665.377778
11,1604978665.787796,1604978665.787831
12,1604978666.104126,1604978666.104137
13,1604978666.402776,1604978666.402796
14,1604978666.812129,1604978666.81215
15,1604978667.016744,1604978667.016753
16,1604978667.221647,1604978667.221667
17,1604978667.599893,1604978667.599913
18,1604978667.835835,1604978667.835856
19,1604978668.040462,1604978668.040471
20,1604978668.24508,1604978668.245089
21,1604978668.450576,1604978668.450596
22,1604978668.655014,1604978668.655033
23,1604978668.785258,1604978668.785276
24,1604978669.063983,1604978669.063991
25,1604978669.287483,1604978669.287503
26,1604978669.679281,1604978669.679302
27,1604978669.903892,1604978669.903911
28,1604978670.01848,1604978670.018499
29,1604978670.293239,1604978670.293247
30,1604978670.498446,1604978670.498453
31,1604978670.908009,1604978670.908028
32,1604978671.112013,1604978671.112022
33,1604978671.317381,1604978671.317401
34,1604978671.522611,1604978671.522632
35,1604978671.7001,1604978671.70012
36,1604978671.889464,1604978671.889484
37,1604978672.003769,1604978672.003789
38,1604978672.197947,1604978672.197965
39,1604978672.390516,1604978672.390537
40,1604978672.95547,1604978672.95549
41,1604978673.161092,1604978673.161111
42,1604978673.570267,1604978673.570287
43,1604978673.979626,1604978673.979648
44,1604978674.18461,1604978674.184631
45,1604978674.593853,1604978674.59388
46,1604978675.00377,1604978675.00379
47,1604978675.208841,1604978675.208861
48,1604978675.413343,1604978675.41335
49,1604978675.617946,1604978675.617954
50,1604978675.823574,1604978675.823591
51,1604978676.027833,1604978676.02785
52,1604978676.437124,1604978676.437147
53,1604978677.050632,1604978677.050641
54,1604978677.25646,1604978677.256481
55,1604978677.461587,1604978677.461604
56,1604978677.666554,1604978677.666575
