id,server_rcv,server_send
1,1604983467.540846,1604983467.540864
2,1604983467.744868,1604983467.744885
3,1604983467.886728,1604983467.886745
4,1604983468.155818,1604983468.155836
5,1604983468.392183,1604983468.392201
6,1604983468.514321,1604983468.514339
7,1604983468.68791,1604983468.687928
8,1604983469.179274,1604983469.179293
9,1604983469.587852,1604983469.58787
10,1604983469.792946,1604983469.792954
11,1604983469.998808,1604983469.998825
12,1604983470.20311,1604983470.203129
13,1604983470.4073,1604983470.407321
14,1604983470.612442,1604983470.612462
15,1604983470.817771,1604983470.817789
16,1604983471.022183,1604983471.022201
17,1604983471.2279,1604983471.22792
18,1604983471.432219,1604983471.432239
19,1604983471.636298,1604983471.636318
20,1604983471.889647,1604983471.889664
21,1604983472.249732,1604983472.249752
22,1604983472.453825,1604983472.453843
23,1604983472.659003,1604983472.659024
24,1604983472.86344,1604983472.86346
25,1604983473.068946,1604983473.068964
