id,server_rcv,server_send
1,1604981486.097823,1604981486.097832
2,1604981486.303096,1604981486.303122
3,1604981486.712819,1604981486.712843
4,1604981486.917584,1604981486.917604
5,1604981487.531798,1604981487.531819
6,1604981487.723064,1604981487.723085
7,1604981487.928041,1604981487.928058
8,1604981488.145485,1604981488.145504
9,1604981488.555675,1604981488.555694
10,1604981488.723923,1604981488.723943
11,1604981488.965165,1604981488.965185
12,1604981489.169915,1604981489.169932
13,1604981489.374868,1604981489.374888
14,1604981489.784427,1604981489.784444
15,1604981489.988622,1604981489.98864
16,1604981490.193497,1604981490.193515
17,1604981490.398245,1604981490.398265
18,1604981490.808375,1604981490.808395
19,1604981491.01335,1604981491.013372
20,1604981491.422125,1604981491.422134
21,1604981491.832434,1604981491.832451
