id,client_send,client_rcv
1,1604973753.845551,1604973753.945037
2,1604973753.94532,1604973754.144815
3,1604973754.146063,1604973754.351604
4,1604973754.351746,1604973754.544934
5,1604973754.545085,1604973754.645272
6,1604973754.645474,1604973754.744962
7,1604973754.75096,1604973754.849969
8,1604973754.850138,1604973755.244808
9,1604973755.244997,1604973755.350439
10,1604973755.35109,1604973755.445373
11,1604973755.450839,1604973755.544968
12,1604973755.545616,1604973755.6456
13,1604973755.646022,1604973755.844769
14,1604973755.845163,1604973756.044979
15,1604973756.045136,1604973756.144932
16,1604973756.146022,1604973756.245078
17,1604973756.246098,1604973756.349964
18,1604973756.350318,1604973756.545183
19,1604973756.545466,1604973756.644934
20,1604973756.645352,1604973756.746338
21,1604973756.746496,1604973756.845149
22,1604973756.845341,1604973757.153669
23,1604973757.153788,1604973757.245584
24,1604973757.245846,1604973757.350533
25,1604973757.351062,1604973757.645958
26,1604973757.646145,1604973757.850183
27,1604973757.850306,1604973758.050743
28,1604973758.050901,1604973758.244935
29,1604973758.245128,1604973758.444908
30,1604973758.445047,1604973758.544795
31,1604973758.544977,1604973758.781771
32,1604973758.781926,1604973758.944886
33,1604973758.950979,1604973759.045087
34,1604973759.045267,1604973759.144806
35,1604973759.145939,1604973759.250558
36,1604973759.251059,1604973759.444941
37,1604973759.445066,1604973759.545678
38,1604973759.545923,1604973759.645077
39,1604973759.645262,1604973759.673461
40,1604973759.673744,1604973759.750375
41,1604973759.750495,1604973759.844947
42,1604973759.845083,1604973759.945808
43,1604973759.946661,1604973760.050771
44,1604973760.051242,1604973760.444785
45,1604973760.445286,1604973760.555531
46,1604973760.555725,1604973760.647614
47,1604973760.647717,1604973760.749961
48,1604973760.750311,1604973761.044826
49,1604973761.045144,1604973761.14489
50,1604973761.15253,1604973761.24856
51,1604973761.249084,1604973761.345008
52,1604973761.345315,1604973761.45011
53,1604973761.450405,1604973761.651925
54,1604973761.652059,1604973761.755229
55,1604973761.75536,1604973762.145112
56,1604973762.145449,1604973762.344792
57,1604973762.345084,1604973762.544978
58,1604973762.545111,1604973762.67701
59,1604973762.677155,1604973762.744961
