id,client_send,client_rcv
1,1604973090.350128,1604973090.450249
2,1604973090.450386,1604973090.544798
3,1604973090.545035,1604973090.645237
4,1604973090.645378,1604973090.745396
5,1604973090.745655,1604973090.844897
6,1604973090.845031,1604973090.945067
7,1604973090.945257,1604973091.345073
8,1604973091.345468,1604973091.444853
9,1604973091.445017,1604973091.544813
10,1604973091.545003,1604973091.644812
11,1604973091.645004,1604973091.744972
12,1604973091.745186,1604973091.844812
13,1604973091.845054,1604973092.044913
14,1604973092.045053,1604973092.244954
15,1604973092.245312,1604973092.450052
16,1604973092.450358,1604973092.787065
17,1604973092.787209,1604973092.845097
18,1604973092.848495,1604973092.950675
19,1604973092.951571,1604973093.045168
20,1604973093.046394,1604973093.150389
21,1604973093.150573,1604973093.547483
22,1604973093.547672,1604973093.652357
23,1604973093.656324,1604973093.754616
24,1604973093.756368,1604973094.044853
25,1604973094.052483,1604973094.151955
26,1604973094.152285,1604973094.245207
27,1604973094.245379,1604973094.356083
28,1604973094.447265,1604973094.645185
29,1604973094.645281,1604973094.75033
30,1604973094.750835,1604973094.944862
31,1604973094.95195,1604973095.044969
32,1604973095.045118,1604973095.144925
33,1604973095.145056,1604973095.245084
34,1604973095.245557,1604973095.344842
35,1604973095.345012,1604973095.450302
36,1604973095.450473,1604973095.544884
37,1604973095.545022,1604973095.574124
38,1604973095.57423,1604973095.650693
39,1604973095.744793,1604973095.944781
40,1604973095.950816,1604973096.054452
41,1604973096.054601,1604973096.345001
42,1604973096.347049,1604973096.444914
43,1604973096.44505,1604973096.663242
44,1604973096.663375,1604973096.744904
45,1604973096.750718,1604973096.850285
46,1604973096.850517,1604973096.944887
47,1604973096.9461,1604973097.050176
48,1604973097.050315,1604973097.344927
49,1604973097.350381,1604973097.612101
50,1604973097.612226,1604973097.644911
51,1604973097.650698,1604973097.744948
52,1604973097.745122,1604973097.850302
53,1604973097.850534,1604973097.944851
54,1604973097.94503,1604973098.044821
55,1604973098.044951,1604973098.144876
56,1604973098.152912,1604973098.250422
57,1604973098.250593,1604973098.350367
