id,client_send,client_rcv
1,1604973362.545838,1604973362.644793
2,1604973362.64506,1604973362.750653
3,1604973362.750786,1604973362.845087
4,1604973362.845683,1604973362.944976
5,1604973362.945127,1604973363.050487
6,1604973363.056087,1604973363.151524
7,1604973363.152023,1604973363.246727
8,1604973363.246807,1604973363.344929
9,1604973363.345125,1604973363.444915
10,1604973363.445043,1604973363.544897
11,1604973363.545144,1604973363.650269
12,1604973363.650434,1604973363.744805
13,1604973363.745165,1604973363.850017
14,1604973363.85018,1604973364.145097
15,1604973364.145241,1604973364.244856
16,1604973364.24499,1604973364.350513
17,1604973364.350686,1604973364.44495
18,1604973364.445169,1604973364.54484
19,1604973364.550502,1604973364.649976
20,1604973364.650109,1604973364.745002
21,1604973364.745172,1604973364.844918
22,1604973364.845035,1604973364.945141
23,1604973364.945791,1604973365.045116
24,1604973365.050813,1604973365.145054
25,1604973365.145426,1604973365.244762
26,1604973365.244931,1604973365.350348
27,1604973365.350455,1604973365.650307
28,1604973365.650412,1604973365.845198
29,1604973365.846438,1604973366.044858
30,1604973366.045025,1604973366.144896
31,1604973366.145128,1604973366.244952
32,1604973366.245124,1604973366.344869
33,1604973366.344996,1604973366.444888
34,1604973366.445068,1604973366.550174
35,1604973366.550296,1604973366.845292
36,1604973366.845572,1604973366.945099
37,1604973366.945409,1604973367.04497
38,1604973367.045104,1604973367.144938
39,1604973367.145452,1604973367.244872
40,1604973367.245001,1604973367.273828
41,1604973367.273956,1604973367.345297
42,1604973367.345514,1604973367.444826
43,1604973367.445052,1604973367.54487
44,1604973367.544977,1604973367.64483
45,1604973367.644955,1604973367.744924
46,1604973367.745134,1604973367.94478
47,1604973367.950223,1604973368.244844
48,1604973368.245203,1604973368.277747
49,1604973368.277932,1604973368.344868
50,1604973368.345717,1604973368.445282
51,1604973368.44562,1604973368.544969
52,1604973368.545476,1604973368.644787
53,1604973368.644941,1604973368.744795
54,1604973368.745173,1604973368.944844
55,1604973368.945025,1604973369.145657
56,1604973369.146206,1604973369.248941
57,1604973369.249033,1604973369.34486
58,1604973369.345053,1604973369.544912
59,1604973369.545488,1604973369.745032
60,1604973369.745219,1604973369.945032
