id,client_send,client_rcv
1,1604973082.250555,1604973082.345834
2,1604973082.351452,1604973082.449935
3,1604973082.45033,1604973082.544789
4,1604973082.544998,1604973082.65071
5,1604973082.651195,1604973082.744997
6,1604973082.750755,1604973082.84621
7,1604973082.846301,1604973082.944831
8,1604973082.94501,1604973083.044905
9,1604973083.045025,1604973083.144899
10,1604973083.150776,1604973083.45082
11,1604973083.451327,1604973083.545103
12,1604973083.545242,1604973083.644756
13,1604973083.650126,1604973083.846923
14,1604973083.847026,1604973084.045081
15,1604973084.045317,1604973084.24495
16,1604973084.245973,1604973084.345175
17,1604973084.345738,1604973084.644909
18,1604973084.650432,1604973084.846501
19,1604973084.846586,1604973084.944866
20,1604973084.945026,1604973085.05066
21,1604973085.050865,1604973085.244831
22,1604973085.244977,1604973085.350634
23,1604973085.444964,1604973085.644916
24,1604973085.645212,1604973085.74491
25,1604973085.745176,1604973085.844839
26,1604973085.845113,1604973085.878668
27,1604973085.878787,1604973085.950145
28,1604973085.950295,1604973086.250083
29,1604973086.250203,1604973086.34489
30,1604973086.345076,1604973086.446607
31,1604973086.447744,1604973086.555399
32,1604973086.644958,1604973086.84655
33,1604973086.846658,1604973086.945211
34,1604973086.945389,1604973087.045522
35,1604973087.045709,1604973087.150852
36,1604973087.151046,1604973087.245345
37,1604973087.24696,1604973087.350552
38,1604973087.351034,1604973087.744727
39,1604973087.745069,1604973087.858902
40,1604973087.859013,1604973087.944809
41,1604973087.944975,1604973088.044887
42,1604973088.045018,1604973088.15012
43,1604973088.151356,1604973088.544815
44,1604973088.545829,1604973088.750191
45,1604973088.750323,1604973088.86896
46,1604973088.869077,1604973088.950076
