id,client_send,client_rcv
1,1604973418.751134,1604973418.850055
2,1604973418.850206,1604973418.950315
3,1604973418.95062,1604973419.150467
4,1604973419.150636,1604973419.24534
5,1604973419.245566,1604973419.344862
6,1604973419.345031,1604973419.444904
7,1604973419.445544,1604973419.54486
8,1604973419.55038,1604973419.650668
9,1604973419.651087,1604973419.744999
10,1604973419.745172,1604973419.855701
11,1604973419.855901,1604973420.044919
12,1604973420.045068,1604973420.150609
13,1604973420.151011,1604973420.544827
14,1604973420.550566,1604973420.745026
15,1604973420.746878,1604973420.950225
16,1604973420.950364,1604973421.150626
17,1604973421.151057,1604973421.350344
18,1604973421.350476,1604973421.645117
19,1604973421.645355,1604973421.884715
20,1604973421.884824,1604973421.950755
21,1604973421.950878,1604973422.050768
22,1604973422.051585,1604973422.144864
23,1604973422.14504,1604973422.244988
24,1604973422.245152,1604973422.350513
25,1604973422.350745,1604973422.555859
26,1604973422.555991,1604973422.74694
27,1604973422.747038,1604973422.845013
28,1604973422.84574,1604973422.950013
29,1604973423.044943,1604973423.15093
30,1604973423.151068,1604973423.250664
31,1604973423.250857,1604973423.345156
32,1604973423.345285,1604973423.450577
33,1604973423.451044,1604973423.546359
34,1604973423.546942,1604973423.644983
35,1604973423.645319,1604973423.747089
36,1604973423.747202,1604973423.850738
37,1604973423.850882,1604973423.950662
38,1604973423.956106,1604973424.144939
39,1604973424.145092,1604973424.350384
40,1604973424.35308,1604973424.447376
