id,client_send,client_rcv
1,1604973723.145396,1604973723.245278
2,1604973723.245451,1604973723.346086
3,1604973723.346904,1604973723.644798
4,1604973723.652409,1604973723.845043
5,1604973723.845262,1604973724.047463
6,1604973724.047557,1604973724.244889
7,1604973724.24575,1604973724.446365
8,1604973724.447169,1604973724.650561
9,1604973724.650689,1604973724.751311
10,1604973724.75146,1604973724.845162
11,1604973724.847767,1604973724.950253
12,1604973724.950511,1604973725.045001
13,1604973725.046969,1604973725.145201
14,1604973725.145349,1604973725.24572
15,1604973725.245839,1604973725.345151
16,1604973725.345313,1604973725.444931
17,1604973725.445082,1604973725.545728
18,1604973725.546042,1604973725.844933
19,1604973725.850409,1604973726.044952
20,1604973726.045126,1604973726.217265
21,1604973726.217395,1604973726.247165
22,1604973726.253196,1604973726.345567
23,1604973726.345864,1604973726.450251
24,1604973726.545092,1604973726.650836
25,1604973726.650948,1604973726.750345
26,1604973726.750554,1604973726.850152
27,1604973726.850271,1604973726.949945
28,1604973726.950091,1604973727.04526
29,1604973727.045731,1604973727.145111
30,1604973727.146942,1604973727.254445
31,1604973727.254791,1604973727.545332
32,1604973727.545617,1604973727.74483
33,1604973727.745155,1604973727.945005
34,1604973727.945179,1604973728.058237
35,1604973728.058347,1604973728.145017
36,1604973728.145684,1604973728.250388
37,1604973728.250718,1604973728.445068
38,1604973728.445471,1604973728.744851
39,1604973728.746126,1604973728.844973
40,1604973728.845162,1604973728.950145
41,1604973728.950261,1604973729.045049
