id,client_send,client_rcv
1,1604973136.045524,1604973136.144986
2,1604973136.145729,1604973136.187776
3,1604973136.18794,1604973136.245654
4,1604973136.245806,1604973136.344952
5,1604973136.345273,1604973136.444953
6,1604973136.445142,1604973136.644818
7,1604973136.645227,1604973136.744804
8,1604973136.744945,1604973136.844997
9,1604973136.850897,1604973136.944897
10,1604973136.945288,1604973137.044867
11,1604973137.050703,1604973137.144896
12,1604973137.145323,1604973137.177828
13,1604973137.17796,1604973137.244878
14,1604973137.245073,1604973137.44496
15,1604973137.445121,1604973137.644962
16,1604973137.645197,1604973137.745004
17,1604973137.745133,1604973137.84484
18,1604973137.845577,1604973138.050679
19,1604973138.05111,1604973138.145258
20,1604973138.145364,1604973138.17279
21,1604973138.172921,1604973138.244815
22,1604973138.244947,1604973138.345119
23,1604973138.345226,1604973138.444848
24,1604973138.445448,1604973138.544806
25,1604973138.54494,1604973138.744977
26,1604973138.75086,1604973138.854444
27,1604973138.944887,1604973139.256775
28,1604973139.256896,1604973139.35017
29,1604973139.350297,1604973139.545027
30,1604973139.545157,1604973139.744862
31,1604973139.745494,1604973139.84496
32,1604973139.845457,1604973139.944928
33,1604973139.945065,1604973140.04486
34,1604973140.04499,1604973140.282963
35,1604973140.283104,1604973140.350107
36,1604973140.35065,1604973140.445102
37,1604973140.445353,1604973140.551007
38,1604973140.551613,1604973140.644884
39,1604973140.645024,1604973140.744957
40,1604973140.74511,1604973140.950069
