id,client_send,client_rcv
1,1604973322.745,1604973323.045096
2,1604973323.045436,1604973323.171925
3,1604973323.172072,1604973323.350463
4,1604973323.445877,1604973323.650429
5,1604973323.650551,1604973323.750179
6,1604973323.750707,1604973323.84489
7,1604973323.845042,1604973323.951105
8,1604973323.951314,1604973324.197361
9,1604973324.197494,1604973324.25023
10,1604973324.250338,1604973324.345188
11,1604973324.345352,1604973324.650006
12,1604973324.655596,1604973324.750378
13,1604973324.750543,1604973324.850272
14,1604973324.850402,1604973324.944874
15,1604973324.945053,1604973325.044974
16,1604973325.047344,1604973325.222171
17,1604973325.222299,1604973325.345185
18,1604973325.345382,1604973325.450823
19,1604973325.450988,1604973325.650134
20,1604973325.650411,1604973325.850009
21,1604973325.850127,1604973325.945245
22,1604973325.950993,1604973326.044921
23,1604973326.045161,1604973326.145063
24,1604973326.145209,1604973326.172732
25,1604973326.172854,1604973326.235315
26,1604973326.235481,1604973326.344945
27,1604973326.345163,1604973326.545159
28,1604973326.545756,1604973326.658437
29,1604973326.658571,1604973326.850622
30,1604973326.850764,1604973327.150613
31,1604973327.150773,1604973327.751462
32,1604973327.753147,1604973327.85307
33,1604973327.853456,1604973327.951557
34,1604973327.951731,1604973328.051242
35,1604973328.056582,1604973328.493037
36,1604973328.493152,1604973328.546414
37,1604973328.546944,1604973328.645562
38,1604973328.646039,1604973328.755707
39,1604973328.850333,1604973328.945458
40,1604973328.945934,1604973329.050106
41,1604973329.050239,1604973329.145341
42,1604973329.152108,1604973329.178169
43,1604973329.178311,1604973329.245493
44,1604973329.245888,1604973329.34498
45,1604973329.34531,1604973329.450519
46,1604973329.450645,1604973329.645733
47,1604973329.651481,1604973329.751115
48,1604973329.751279,1604973329.846676
49,1604973329.847056,1604973329.945527
50,1604973329.945667,1604973330.05664
51,1604973330.056972,1604973330.245022
52,1604973330.245842,1604973330.355533
53,1604973330.356936,1604973330.552924
54,1604973330.553081,1604973330.650261
55,1604973330.650407,1604973330.750711
56,1604973330.751188,1604973330.856374
57,1604973330.856498,1604973330.9452
58,1604973330.945486,1604973331.045843
59,1604973331.045962,1604973331.145765
60,1604973331.146216,1604973331.364645
61,1604973331.364901,1604973331.450322
62,1604973331.45081,1604973331.544851
