id,client_send,client_rcv
1,1604974436.624716,1604974436.823665
2,1604974436.8238,1604974437.023574
3,1604974437.029761,1604974437.425536
4,1604974437.425683,1604974437.742704
5,1604974437.742834,1604974438.123467
6,1604974438.123621,1604974438.424
7,1604974438.424128,1604974438.559083
8,1604974438.559215,1604974438.823557
9,1604974438.823795,1604974439.023553
10,1604974439.023679,1604974439.228728
11,1604974439.228844,1604974439.423987
12,1604974439.42411,1604974439.583127
13,1604974439.583263,1604974439.828934
14,1604974439.923588,1604974440.223834
15,1604974440.223954,1604974440.424047
16,1604974440.430003,1604974440.612707
17,1604974440.612848,1604974440.828816
18,1604974440.924138,1604974441.229397
19,1604974441.22957,1604974441.84274
20,1604974441.842878,1604974442.123547
21,1604974442.123681,1604974442.525417
22,1604974442.525516,1604974442.723709
23,1604974442.723998,1604974442.923672
24,1604974442.92379,1604974443.128686
25,1604974443.129298,1604974443.52512
26,1604974443.525207,1604974443.723626
27,1604974443.723966,1604974443.923727
