id,client_send,client_rcv
1,1604974946.024338,1604974946.329609
2,1604974946.329736,1604974946.523791
3,1604974946.524068,1604974946.726905
4,1604974946.727015,1604974946.924428
5,1604974946.924544,1604974947.123463
6,1604974947.123628,1604974947.330103
7,1604974947.330352,1604974947.529436
8,1604974947.623965,1604974947.743331
9,1604974947.743529,1604974947.923463
10,1604974947.923615,1604974948.223454
11,1604974948.224045,1604974948.523605
12,1604974948.523732,1604974948.725817
13,1604974948.725927,1604974948.923563
14,1604974948.923724,1604974949.224077
15,1604974949.224469,1604974949.423476
16,1604974949.423814,1604974949.623518
17,1604974949.623668,1604974949.74366
18,1604974949.743803,1604974950.024441
19,1604974950.024689,1604974950.423681
20,1604974950.423889,1604974950.623776
21,1604974950.624188,1604974950.763533
22,1604974950.763678,1604974951.124979
23,1604974951.125109,1604974951.429121
24,1604974951.429344,1604974951.624078
25,1604974951.624219,1604974951.788546
26,1604974951.788671,1604974952.025028
27,1604974952.025169,1604974952.628712
28,1604974952.628851,1604974952.817801
