id,client_send,client_rcv
1,1604975326.53019,1604975326.823772
2,1604975326.823887,1604975327.023599
3,1604975327.023735,1604975327.223752
4,1604975327.225031,1604975327.524456
5,1604975327.524543,1604975327.824194
6,1604975327.82431,1604975328.023561
7,1604975328.02416,1604975328.223445
8,1604975328.223612,1604975328.425519
9,1604975328.425633,1604975328.627064
10,1604975328.627189,1604975328.923589
11,1604975328.923747,1604975329.323507
12,1604975329.323764,1604975329.444195
13,1604975329.444356,1604975329.724064
14,1604975329.724189,1604975329.924279
15,1604975329.925053,1604975330.129586
16,1604975330.129705,1604975330.469683
17,1604975330.469815,1604975330.725166
18,1604975330.731055,1604975330.924493
19,1604975330.924661,1604975331.223559
20,1604975331.223682,1604975331.493858
21,1604975331.493991,1604975331.73001
22,1604975331.730147,1604975331.923623
23,1604975331.924341,1604975332.129202
24,1604975332.129698,1604975332.329707
25,1604975332.329827,1604975332.514053
26,1604975332.514196,1604975332.726144
27,1604975332.726834,1604975333.023551
28,1604975333.024727,1604975333.424038
29,1604975333.42618,1604975333.634349
30,1604975333.724777,1604975333.923575
31,1604975333.924155,1604975334.225847
32,1604975334.226008,1604975334.426741
