id,client_send,client_rcv
1,1604975159.730521,1604975160.123804
2,1604975160.124434,1604975160.423524
3,1604975160.429686,1604975160.723979
4,1604975160.724076,1604975160.928724
5,1604975160.929054,1604975161.123749
6,1604975161.129107,1604975161.32881
7,1604975161.334408,1604975161.723776
8,1604975161.723888,1604975161.928891
9,1604975161.929028,1604975162.123632
10,1604975162.123752,1604975162.331378
11,1604975162.331485,1604975162.733357
12,1604975162.733644,1604975163.023724
13,1604975163.023903,1604975163.428867
14,1604975163.42901,1604975163.760505
15,1604975163.760661,1604975164.024481
16,1604975164.024634,1604975164.323519
17,1604975164.324778,1604975164.782571
18,1604975164.782692,1604975165.023561
19,1604975165.023708,1604975165.223665
20,1604975165.223864,1604975165.423869
21,1604975165.429368,1604975165.803266
22,1604975165.803554,1604975166.024
23,1604975166.025422,1604975166.229065
24,1604975166.229203,1604975166.429629
25,1604975166.429839,1604975166.626036
26,1604975166.626171,1604975166.92356
27,1604975166.92373,1604975167.624006
28,1604975167.624607,1604975167.852665
29,1604975167.852811,1604975168.224046
