id,server_rcv,server_send
1,1604972999.207761,1604972999.207781
2,1604972999.497847,1604972999.497869
3,1604972999.776305,1604972999.776316
4,1604972999.98145,1604972999.981469
5,1604973000.185778,1604973000.185799
6,1604973000.390913,1604973000.39094
7,1604973000.601561,1604973000.601582
8,1604973000.800155,1604973000.800174
9,1604973001.005365,1604973001.00539
10,1604973001.41485,1604973001.41487
11,1604973001.507727,1604973001.507748
12,1604973001.60496,1604973001.60498
13,1604973001.703113,1604973001.703152
14,1604973001.803171,1604973001.803192
15,1604973001.90328,1604973001.903303
16,1604973001.93452,1604973001.934544
17,1604973002.233513,1604973002.233533
18,1604973002.307712,1604973002.307733
19,1604973002.408597,1604973002.408617
20,1604973002.502334,1604973002.502358
21,1604973002.64369,1604973002.64371
22,1604973003.053499,1604973003.053507
23,1604973003.0791,1604973003.079108
24,1604973003.258151,1604973003.258158
25,1604973003.303428,1604973003.303436
26,1604973003.462808,1604973003.462828
27,1604973003.668226,1604973003.668252
28,1604973003.872524,1604973003.872543
29,1604973003.904085,1604973003.904105
30,1604973004.282015,1604973004.282037
31,1604973004.487492,1604973004.487513
32,1604973004.69124,1604973004.691261
33,1604973004.896652,1604973004.896672
34,1604973004.929376,1604973004.929396
35,1604973005.305382,1604973005.3054
