id,server_rcv,server_send
1,1604973586.257466,1604973586.257488
2,1604973586.52913,1604973586.529151
3,1604973586.565248,1604973586.565269
4,1604973586.663642,1604973586.663662
5,1604973586.762474,1604973586.762504
6,1604973586.862456,1604973586.862479
7,1604973586.963183,1604973586.963208
8,1604973587.056401,1604973587.056409
9,1604973587.157182,1604973587.157198
10,1604973587.347189,1604973587.347212
11,1604973587.553601,1604973587.553621
12,1604973587.962823,1604973587.962847
13,1604973588.057388,1604973588.057396
14,1604973588.371926,1604973588.371934
15,1604973588.395067,1604973588.395073
16,1604973588.461694,1604973588.461702
17,1604973588.57751,1604973588.577518
18,1604973588.655885,1604973588.655904
19,1604973588.780201,1604973588.780225
20,1604973588.857564,1604973588.857596
21,1604973588.957666,1604973588.95769
22,1604973589.061824,1604973589.061832
23,1604973589.156352,1604973589.156373
24,1604973589.3968,1604973589.39682
25,1604973589.456047,1604973589.456067
26,1604973589.699278,1604973589.699296
27,1604973589.761382,1604973589.761403
28,1604973589.856619,1604973589.85664
29,1604973590.010249,1604973590.010258
30,1604973590.056653,1604973590.056661
31,1604973590.214168,1604973590.214192
32,1604973590.258332,1604973590.258352
33,1604973590.420313,1604973590.420333
34,1604973590.45616,1604973590.456181
35,1604973590.625279,1604973590.625294
