id,server_rcv,server_send
1,1604973593.697395,1604973593.697415
2,1604973593.756687,1604973593.756707
3,1604973594.106759,1604973594.106768
4,1604973594.15646,1604973594.156478
5,1604973594.311501,1604973594.311522
6,1604973594.356604,1604973594.356624
7,1604973594.458064,1604973594.458085
8,1604973594.557858,1604973594.557878
9,1604973594.721115,1604973594.721124
10,1604973594.761424,1604973594.761444
11,1604973594.857127,1604973594.857149
12,1604973594.958205,1604973594.958225
13,1604973595.057838,1604973595.057849
14,1604973595.441948,1604973595.441968
15,1604973595.744944,1604973595.744966
16,1604973595.955288,1604973595.955313
17,1604973596.154815,1604973596.154836
18,1604973596.35933,1604973596.35935
19,1604973596.564375,1604973596.564395
20,1604973596.656148,1604973596.656169
21,1604973596.973568,1604973596.973588
22,1604973597.06178,1604973597.061789
23,1604973597.177006,1604973597.17702
24,1604973597.267775,1604973597.267796
25,1604973597.588348,1604973597.588369
