id,server_rcv,server_send
1,1604973055.458711,1604973055.458747
2,1604973055.558669,1604973055.558689
3,1604973055.663325,1604973055.663345
4,1604973055.757443,1604973055.757466
5,1604973055.857608,1604973055.85765
6,1604973056.09599,1604973056.095997
7,1604973056.120405,1604973056.120413
8,1604973056.162438,1604973056.162452
9,1604973056.258361,1604973056.258381
10,1604973056.456775,1604973056.456794
11,1604973056.710776,1604973056.710795
12,1604973056.915662,1604973056.915691
13,1604973056.959749,1604973056.959761
14,1604973056.99572,1604973056.99574
15,1604973057.055987,1604973057.055995
16,1604973057.529689,1604973057.529709
17,1604973057.65799,1604973057.658013
18,1604973057.76364,1604973057.763648
19,1604973057.859448,1604973057.859468
20,1604973057.957987,1604973057.957999
21,1604973057.985606,1604973057.985625
22,1604973058.063956,1604973058.063965
23,1604973058.348816,1604973058.348823
24,1604973058.4586,1604973058.458621
25,1604973058.558609,1604973058.558632
26,1604973058.699763,1604973058.699784
27,1604973058.756929,1604973058.75695
28,1604973058.96416,1604973058.964175
29,1604973058.990567,1604973058.990587
30,1604973059.063725,1604973059.063746
31,1604973059.374043,1604973059.374064
32,1604973059.57797,1604973059.57799
33,1604973059.667671,1604973059.667695
34,1604973059.858903,1604973059.858923
35,1604973059.958029,1604973059.958049
36,1604973059.985521,1604973059.98554
37,1604973060.067666,1604973060.067675
38,1604973060.162604,1604973060.162624
39,1604973060.397599,1604973060.397619
40,1604973060.464257,1604973060.464276
41,1604973060.807078,1604973060.807097
42,1604973060.862518,1604973060.862538
43,1604973060.957194,1604973060.957205
44,1604973060.985801,1604973060.985816
45,1604973061.063315,1604973061.063323
46,1604973061.421407,1604973061.421433
47,1604973061.462326,1604973061.462346
48,1604973061.562646,1604973061.562665
49,1604973061.658513,1604973061.658533
50,1604973061.757728,1604973061.757747
51,1604973061.858059,1604973061.858079
52,1604973061.958504,1604973061.958526
53,1604973061.984279,1604973061.984297
54,1604973062.063179,1604973062.063188
55,1604973062.163786,1604973062.163806
56,1604973062.2568,1604973062.256821
57,1604973062.357776,1604973062.357797
58,1604973062.458714,1604973062.458734
59,1604973062.558493,1604973062.558512
60,1604973062.854842,1604973062.854863
61,1604973063.059485,1604973063.059494
62,1604973063.090209,1604973063.090217
63,1604973063.163782,1604973063.163802
64,1604973063.2571,1604973063.257106
65,1604973063.469939,1604973063.469948
66,1604973063.562431,1604973063.562451
67,1604973063.878556,1604973063.878576
68,1604973063.957104,1604973063.957124
69,1604973063.985928,1604973063.985948
70,1604973064.288502,1604973064.288523
71,1604973064.492908,1604973064.492934
72,1604973064.55772,1604973064.557741
