id,server_rcv,server_send
1,1604973401.594296,1604973401.594319
2,1604973401.662097,1604973401.662118
3,1604973401.758167,1604973401.758187
4,1604973401.858006,1604973401.858027
5,1604973401.958986,1604973401.959006
6,1604973402.209108,1604973402.209128
7,1604973402.413933,1604973402.413954
8,1604973402.457246,1604973402.457267
9,1604973402.557407,1604973402.557427
10,1604973402.656926,1604973402.656944
11,1604973403.028102,1604973403.028121
12,1604973403.232929,1604973403.232949
13,1604973403.437524,1604973403.437533
14,1604973403.464495,1604973403.464503
15,1604973403.559707,1604973403.559715
16,1604973403.657552,1604973403.657572
17,1604973403.757545,1604973403.757564
18,1604973404.051811,1604973404.05182
19,1604973404.257359,1604973404.257379
20,1604973404.460788,1604973404.460808
21,1604973404.556066,1604973404.556089
22,1604973404.871815,1604973404.871836
23,1604973404.956287,1604973404.956307
24,1604973405.074572,1604973405.074579
25,1604973405.163466,1604973405.163487
26,1604973405.264635,1604973405.264655
27,1604973405.358093,1604973405.358113
28,1604973405.457825,1604973405.457846
29,1604973405.557875,1604973405.557895
30,1604973405.657996,1604973405.658017
31,1604973405.894893,1604973405.894913
32,1604973405.962439,1604973405.962458
33,1604973406.305265,1604973406.305286
34,1604973406.356396,1604973406.356416
35,1604973406.384962,1604973406.384983
36,1604973406.457852,1604973406.457872
37,1604973406.714587,1604973406.714606
38,1604973406.757028,1604973406.757048
39,1604973407.12389,1604973407.123899
40,1604973407.15707,1604973407.157085
41,1604973407.258348,1604973407.258369
42,1604973407.533901,1604973407.533913
43,1604973407.560131,1604973407.560149
44,1604973407.738354,1604973407.738373
45,1604973407.943048,1604973407.943067
46,1604973408.147961,1604973408.147977
47,1604973408.557558,1604973408.557571
48,1604973408.587936,1604973408.587954
49,1604973408.663447,1604973408.663464
50,1604973408.763106,1604973408.763126
51,1604973408.864146,1604973408.864165
52,1604973408.963796,1604973408.963823
53,1604973409.055516,1604973409.055524
54,1604973409.172232,1604973409.17225
