id,server_rcv,server_send
1,1604973609.558348,1604973609.558356
2,1604973609.65813,1604973609.658149
3,1604973609.8771,1604973609.87712
4,1604973610.080682,1604973610.08069
5,1604973610.285417,1604973610.285437
6,1604973610.361707,1604973610.361714
7,1604973610.458115,1604973610.458135
8,1604973610.695057,1604973610.695071
9,1604973610.900165,1604973610.900184
10,1604973610.95821,1604973610.95823
11,1604973611.057613,1604973611.057622
12,1604973611.309698,1604973611.309718
13,1604973611.515034,1604973611.515055
14,1604973611.542004,1604973611.542025
15,1604973611.719183,1604973611.719203
16,1604973611.762387,1604973611.762407
17,1604973612.129245,1604973612.129258
18,1604973612.167428,1604973612.167448
19,1604973612.539296,1604973612.539319
20,1604973612.57654,1604973612.576563
21,1604973612.664097,1604973612.664117
22,1604973612.757242,1604973612.757262
23,1604973612.946856,1604973612.946876
24,1604973613.153582,1604973613.153597
25,1604973613.258323,1604973613.258343
26,1604973613.563095,1604973613.563105
27,1604973613.590824,1604973613.590833
28,1604973613.656255,1604973613.656275
29,1604973613.971995,1604973613.972014
30,1604973614.055995,1604973614.056004
31,1604973614.176974,1604973614.176994
32,1604973614.25712,1604973614.257172
33,1604973614.381244,1604973614.381264
34,1604973614.456281,1604973614.456301
35,1604973614.487515,1604973614.487536
36,1604973614.562343,1604973614.562362
37,1604973614.663592,1604973614.663647
38,1604973614.763707,1604973614.763727
39,1604973614.995689,1604973614.995709
40,1604973615.061958,1604973615.061966
41,1604973615.158111,1604973615.15813
42,1604973615.258873,1604973615.258893
43,1604973615.405527,1604973615.405547
44,1604973615.459201,1604973615.459221
45,1604973615.486184,1604973615.486207
46,1604973615.559148,1604973615.559159
47,1604973615.657576,1604973615.6576
48,1604973615.762748,1604973615.762767
49,1604973615.863343,1604973615.863362
50,1604973615.968633,1604973615.968655
51,1604973616.062245,1604973616.062253
52,1604973616.223692,1604973616.223712
53,1604973616.265467,1604973616.265487
54,1604973616.363695,1604973616.363715
55,1604973616.456901,1604973616.456923
56,1604973616.482165,1604973616.482186
57,1604973616.556911,1604973616.556952
58,1604973616.839627,1604973616.839645
59,1604973617.044248,1604973617.044256
60,1604973617.248901,1604973617.248914
61,1604973617.658919,1604973617.658945
62,1604973617.687898,1604973617.687922
63,1604973617.763126,1604973617.763146
64,1604973617.859015,1604973617.859035
65,1604973617.957633,1604973617.957653
66,1604973618.057978,1604973618.057985
67,1604973618.159035,1604973618.159055
68,1604973618.258652,1604973618.258672
69,1604973618.477729,1604973618.477736
70,1604973618.501685,1604973618.501695
71,1604973618.562418,1604973618.562426
72,1604973618.682374,1604973618.682394
73,1604973618.756603,1604973618.75662
74,1604973618.887201,1604973618.88722
75,1604973619.092067,1604973619.092075
