id,server_rcv,server_send
1,1604974436.685881,1604974436.685902
2,1604974436.886427,1604974436.886447
3,1604974437.278913,1604974437.278925
4,1604974437.684037,1604974437.684061
5,1604974437.888365,1604974437.888384
6,1604974438.297668,1604974438.297693
7,1604974438.502828,1604974438.502849
8,1604974438.697331,1604974438.697339
9,1604974438.912302,1604974438.912319
10,1604974439.117375,1604974439.117385
11,1604974439.32185,1604974439.321874
12,1604974439.527165,1604974439.527187
13,1604974439.732009,1604974439.732034
14,1604974440.141639,1604974440.141659
15,1604974440.346421,1604974440.346442
16,1604974440.551472,1604974440.551492
17,1604974440.756097,1604974440.756122
18,1604974441.165421,1604974441.165442
19,1604974441.780054,1604974441.780091
20,1604974441.983907,1604974441.983927
21,1604974442.39429,1604974442.394314
22,1604974442.599641,1604974442.599673
23,1604974442.8035,1604974442.803525
24,1604974443.008986,1604974443.009008
25,1604974443.417841,1604974443.417864
26,1604974443.62358,1604974443.623643
27,1604974443.827684,1604974443.827692
