id,server_rcv,server_send
1,1604974663.98857,1604974663.988592
2,1604974664.286244,1604974664.286264
3,1604974664.808025,1604974664.808046
4,1604974665.012806,1604974665.012828
5,1604974665.217845,1604974665.217866
6,1604974665.422222,1604974665.422244
7,1604974665.627422,1604974665.627443
8,1604974665.832249,1604974665.832271
9,1604974666.036973,1604974666.036981
10,1604974666.445489,1604974666.445509
11,1604974666.650273,1604974666.650295
12,1604974666.85688,1604974666.856902
13,1604974667.060627,1604974667.060636
14,1604974667.265885,1604974667.265906
15,1604974667.675256,1604974667.675277
16,1604974667.880352,1604974667.880373
17,1604974668.289432,1604974668.289453
18,1604974668.699027,1604974668.699033
19,1604974668.904039,1604974668.904048
20,1604974669.518552,1604974669.518577
21,1604974669.701249,1604974669.701271
22,1604974669.885086,1604974669.88511
23,1604974670.133486,1604974670.133498
24,1604974670.541973,1604974670.541998
25,1604974670.74807,1604974670.748095
26,1604974670.95227,1604974670.95229
