id,server_rcv,server_send
1,1604975338.792997,1604975338.793019
2,1604975339.012554,1604975339.012562
3,1604975339.422306,1604975339.422325
4,1604975339.627187,1604975339.627196
5,1604975339.831855,1604975339.831876
6,1604975340.035934,1604975340.035945
7,1604975340.241315,1604975340.241338
8,1604975340.446117,1604975340.446137
9,1604975340.651051,1604975340.651071
10,1604975340.855994,1604975340.856003
11,1604975341.059803,1604975341.059812
12,1604975341.264004,1604975341.264025
13,1604975341.469591,1604975341.469612
14,1604975341.674679,1604975341.674701
15,1604975342.084936,1604975342.084944
16,1604975342.494337,1604975342.494356
17,1604975342.699353,1604975342.699374
18,1604975342.903075,1604975342.903098
19,1604975343.10858,1604975343.108596
20,1604975343.313404,1604975343.313423
21,1604975343.51847,1604975343.518489
22,1604975343.699915,1604975343.699935
23,1604975343.887863,1604975343.88787
24,1604975344.132047,1604975344.132059
25,1604975344.336814,1604975344.336832
26,1604975344.541624,1604975344.541644
27,1604975344.746619,1604975344.746638
28,1604975344.951397,1604975344.951419
29,1604975345.156876,1604975345.156895
30,1604975345.361746,1604975345.361765
31,1604975345.566379,1604975345.566397
32,1604975345.770998,1604975345.771019
33,1604975346.180947,1604975346.180966
34,1604975346.58991,1604975346.589929
35,1604975346.794685,1604975346.794706
36,1604975346.986628,1604975346.986646
37,1604975347.20415,1604975347.20417
38,1604975347.408461,1604975347.408483
39,1604975347.61379,1604975347.613811
40,1604975347.81876,1604975347.818781
41,1604975348.023684,1604975348.023704
42,1604975348.433575,1604975348.433597
43,1604975348.637679,1604975348.637692
44,1604975348.842105,1604975348.842112
45,1604975348.99238,1604975348.992388
46,1604975349.456934,1604975349.456952
47,1604975349.662022,1604975349.662032
48,1604975349.86653,1604975349.866552
49,1604975350.071206,1604975350.071215
50,1604975350.481189,1604975350.4812
51,1604975350.686796,1604975350.686815
52,1604975351.301052,1604975351.301071
53,1604975351.505668,1604975351.505685
54,1604975351.70983,1604975351.709844
55,1604975352.11993,1604975352.119941
56,1604975352.531136,1604975352.531155
57,1604975352.733581,1604975352.7336
58,1604975352.939327,1604975352.939349
59,1604975353.143955,1604975353.143972
60,1604975353.348995,1604975353.349016
61,1604975353.553357,1604975353.553377
62,1604975353.757914,1604975353.757933
63,1604975353.96235,1604975353.962358
64,1604975354.372129,1604975354.372149
65,1604975354.57676,1604975354.576779
66,1604975354.942564,1604975354.942582
67,1604975355.191894,1604975355.191911
68,1604975355.601468,1604975355.601487
69,1604975355.722524,1604975355.722544
70,1604975355.943781,1604975355.943802
71,1604975356.216197,1604975356.216216
72,1604975356.421232,1604975356.421254
73,1604975356.624386,1604975356.624405
