id,server_rcv,server_send
1,1604974707.406714,1604974707.406736
2,1604974707.81617,1604974707.81619
3,1604974708.021389,1604974708.021409
4,1604974708.225845,1604974708.225866
5,1604974708.430408,1604974708.430429
6,1604974708.635742,1604974708.635763
7,1604974708.785725,1604974708.785733
8,1604974708.986166,1604974708.986187
9,1604974709.105775,1604974709.105784
10,1604974709.454376,1604974709.454397
11,1604974709.659732,1604974709.659752
12,1604974709.864978,1604974709.864989
13,1604974710.274251,1604974710.274272
14,1604974710.478535,1604974710.478557
15,1604974711.092943,1604974711.092951
16,1604974711.217283,1604974711.217301
17,1604974711.502702,1604974711.502724
18,1604974711.707285,1604974711.707307
19,1604974711.912438,1604974711.912457
20,1604974712.116716,1604974712.116727
21,1604974712.320803,1604974712.320821
22,1604974712.526399,1604974712.526418
23,1604974712.732085,1604974712.732107
24,1604974712.935767,1604974712.935787
25,1604974713.141731,1604974713.141747
26,1604974713.346373,1604974713.346382
27,1604974713.755776,1604974713.755783
28,1604974713.959954,1604974713.959973
