id,server_rcv,server_send
1,1604975385.707705,1604975385.707726
2,1604975385.911312,1604975385.911333
3,1604975386.116528,1604975386.116538
4,1604975386.321614,1604975386.321634
5,1604975386.526207,1604975386.526227
6,1604975386.731259,1604975386.731281
7,1604975386.935899,1604975386.93592
8,1604975387.140191,1604975387.140203
9,1604975387.754806,1604975387.754827
10,1604975387.959874,1604975387.959895
11,1604975388.167069,1604975388.16709
12,1604975388.306556,1604975388.306565
13,1604975388.574716,1604975388.574736
14,1604975388.779698,1604975388.77972
15,1604975389.189405,1604975389.189427
16,1604975389.598154,1604975389.598178
17,1604975389.716856,1604975389.716877
18,1604975390.007296,1604975390.007315
19,1604975390.213173,1604975390.213194
20,1604975390.417082,1604975390.417103
21,1604975390.62268,1604975390.6227
22,1604975390.827481,1604975390.827494
23,1604975391.031324,1604975391.031332
24,1604975391.236441,1604975391.236461
25,1604975391.44143,1604975391.44145
