id,server_rcv,server_send
1,1604975299.795074,1604975299.795095
2,1604975300.099993,1604975300.100001
3,1604975300.304773,1604975300.304795
4,1604975300.509977,1604975300.509999
5,1604975300.714517,1604975300.714539
6,1604975300.918827,1604975300.918847
7,1604975301.124121,1604975301.124139
8,1604975301.329144,1604975301.329163
9,1604975301.534062,1604975301.534081
10,1604975301.738775,1604975301.738794
11,1604975301.942973,1604975301.942992
12,1604975302.353114,1604975302.353133
13,1604975302.587903,1604975302.587922
14,1604975302.704225,1604975302.704245
15,1604975302.966817,1604975302.966835
16,1604975303.172758,1604975303.172776
17,1604975303.376895,1604975303.376913
18,1604975303.787187,1604975303.787209
19,1604975303.991651,1604975303.991662
20,1604975304.398965,1604975304.398985
21,1604975304.606263,1604975304.606282
22,1604975304.810394,1604975304.810433
23,1604975304.988097,1604975304.988115
24,1604975305.219751,1604975305.219769
25,1604975305.424956,1604975305.424968
26,1604975305.630551,1604975305.63057
27,1604975305.835052,1604975305.83507
28,1604975306.244327,1604975306.244345
29,1604975306.449572,1604975306.449587
30,1604975306.594451,1604975306.59447
31,1604975306.858591,1604975306.858612
32,1604975307.063169,1604975307.063177
33,1604975307.268317,1604975307.268336
34,1604975307.473153,1604975307.47317
35,1604975307.883977,1604975307.883998
36,1604975308.498086,1604975308.498105
37,1604975308.699965,1604975308.699984
38,1604975308.8189,1604975308.818908
39,1604975309.110868,1604975309.11088
40,1604975309.316845,1604975309.316865
41,1604975309.521566,1604975309.521585
42,1604975309.726178,1604975309.726197
43,1604975309.935327,1604975309.935338
44,1604975310.135027,1604975310.135041
45,1604975310.339681,1604975310.3397
46,1604975310.486894,1604975310.486912
47,1604975310.750042,1604975310.750063
48,1604975310.955105,1604975310.955125
49,1604975311.160165,1604975311.160184
50,1604975311.569244,1604975311.569263
