id,server_rcv,server_send
1,1604974346.956258,1604974346.956279
2,1604974347.162052,1604974347.162074
3,1604974347.366029,1604974347.366051
4,1604974347.571828,1604974347.571853
5,1604974347.980062,1604974347.980083
6,1604974348.390636,1604974348.390657
7,1604974348.595331,1604974348.595355
8,1604974348.790367,1604974348.790378
9,1604974349.004415,1604974349.004442
10,1604974349.414728,1604974349.414752
11,1604974349.619031,1604974349.619055
12,1604974349.823545,1604974349.823554
13,1604974350.233298,1604974350.233322
14,1604974350.438575,1604974350.438599
15,1604974350.643181,1604974350.643206
16,1604974351.052574,1604974351.052583
17,1604974351.257785,1604974351.257809
18,1604974351.667586,1604974351.667642
19,1604974351.790595,1604974351.790618
20,1604974352.076165,1604974352.076172
21,1604974352.486522,1604974352.486544
22,1604974352.691754,1604974352.691778
23,1604974353.100724,1604974353.100733
24,1604974353.51094,1604974353.510961
25,1604974353.715154,1604974353.715162
26,1604974354.124067,1604974354.124077
27,1604974354.329659,1604974354.32968
28,1604974354.534838,1604974354.53486
29,1604974354.73959,1604974354.739669
30,1604974354.886298,1604974354.88631
31,1604974355.084654,1604974355.084663
32,1604974355.353262,1604974355.353281
33,1604974355.76367,1604974355.763695
34,1604974355.967674,1604974355.967704
35,1604974356.186131,1604974356.186152
36,1604974356.582483,1604974356.582503
37,1604974356.787533,1604974356.787558
38,1604974357.196913,1604974357.196937
39,1604974357.385822,1604974357.385843
40,1604974357.606809,1604974357.606834
41,1604974357.811226,1604974357.811248
42,1604974358.015767,1604974358.015787
43,1604974358.221393,1604974358.221415
44,1604974358.426121,1604974358.426142
45,1604974358.628995,1604974358.629002
46,1604974358.83559,1604974358.835611
47,1604974358.993267,1604974358.993289
48,1604974359.244665,1604974359.244686
49,1604974359.449189,1604974359.449211
50,1604974359.590004,1604974359.590025
51,1604974359.858555,1604974359.858569
52,1604974360.062784,1604974360.062793
53,1604974360.269414,1604974360.269436
54,1604974360.620715,1604974360.620736
55,1604974360.741865,1604974360.741886
56,1604974361.08806,1604974361.088068
57,1604974361.497836,1604974361.497855
58,1604974361.702702,1604974361.702722
59,1604974361.98684,1604974361.986858
60,1604974362.18497,1604974362.184989
61,1604974362.521989,1604974362.522007
62,1604974362.726719,1604974362.726739
63,1604974362.890575,1604974362.890594
64,1604974363.136134,1604974363.136152
65,1604974363.341122,1604974363.341131
66,1604974363.545265,1604974363.545275
67,1604974363.749848,1604974363.749856
68,1604974363.954908,1604974363.954915
69,1604974364.160016,1604974364.160023
70,1604974364.365309,1604974364.365317
71,1604974364.774271,1604974364.774279
72,1604974364.979751,1604974364.97976
73,1604974365.389252,1604974365.38926
74,1604974365.798329,1604974365.798349
75,1604974366.00355,1604974366.003571
