id,server_rcv,server_send
1,1604974322.994383,1604974322.994402
2,1604974323.200133,1604974323.200153
3,1604974323.404326,1604974323.404346
4,1604974323.609441,1604974323.609461
5,1604974323.814189,1604974323.814199
6,1604974324.019184,1604974324.019203
7,1604974324.224023,1604974324.224044
8,1604974324.428391,1604974324.428412
9,1604974324.63361,1604974324.633631
10,1604974324.838354,1604974324.838374
11,1604974324.990834,1604974324.990854
12,1604974325.247864,1604974325.247884
13,1604974325.452676,1604974325.452696
14,1604974325.656766,1604974325.656791
15,1604974325.862002,1604974325.862022
16,1604974326.066863,1604974326.066873
17,1604974326.284978,1604974326.284998
18,1604974326.681292,1604974326.681312
19,1604974326.886597,1604974326.886618
20,1604974327.087129,1604974327.087137
21,1604974327.501153,1604974327.501174
22,1604974327.705933,1604974327.705955
23,1604974327.910566,1604974327.910587
24,1604974328.319567,1604974328.319588
25,1604974328.524111,1604974328.524131
26,1604974328.728748,1604974328.728758
27,1604974328.933909,1604974328.93393
28,1604974329.085376,1604974329.085385
29,1604974329.343707,1604974329.343732
30,1604974329.548751,1604974329.548776
31,1604974329.753782,1604974329.753804
32,1604974329.958639,1604974329.958666
33,1604974330.163047,1604974330.163068
34,1604974330.292212,1604974330.292232
35,1604974330.572642,1604974330.572662
36,1604974330.982746,1604974330.982766
37,1604974331.391965,1604974331.391986
38,1604974331.801785,1604974331.801811
39,1604974332.005923,1604974332.005942
40,1604974332.210496,1604974332.210518
41,1604974332.416347,1604974332.416368
42,1604974332.620419,1604974332.620439
