id,server_rcv,server_send
1,1604974997.610146,1604974997.610166
2,1604974997.814389,1604974997.814409
3,1604974997.989427,1604974997.989448
4,1604974998.223961,1604974998.223982
5,1604974998.428417,1604974998.428437
6,1604974998.633292,1604974998.633319
7,1604974998.837687,1604974998.837695
8,1604974999.042448,1604974999.042458
9,1604974999.247844,1604974999.247856
10,1604974999.452862,1604974999.452875
11,1604974999.657955,1604974999.65798
12,1604974999.78643,1604974999.786453
13,1604975000.067458,1604975000.067467
14,1604975000.272346,1604975000.272366
15,1604975000.477027,1604975000.477048
16,1604975000.886659,1604975000.88668
17,1604975001.296121,1604975001.296143
18,1604975001.501389,1604975001.50141
19,1604975001.910278,1604975001.910299
20,1604975002.115308,1604975002.115327
21,1604975002.288786,1604975002.288808
22,1604975002.525201,1604975002.525222
23,1604975002.729759,1604975002.729785
24,1604975002.934421,1604975002.93444
25,1604975003.139137,1604975003.139158
26,1604975003.343117,1604975003.343138
27,1604975003.548081,1604975003.548103
28,1604975003.753826,1604975003.753834
29,1604975003.958543,1604975003.958551
30,1604975004.163761,1604975004.163782
31,1604975004.368571,1604975004.368593
32,1604975004.572685,1604975004.572707
33,1604975004.919722,1604975004.91975
34,1604975005.18713,1604975005.187151
35,1604975005.392179,1604975005.392201
36,1604975005.802211,1604975005.802232
37,1604975006.006292,1604975006.006317
38,1604975006.211789,1604975006.211811
39,1604975006.415744,1604975006.415765
40,1604975006.620805,1604975006.620826
41,1604975007.030866,1604975007.03088
