id,server_rcv,server_send
1,1604975093.252093,1604975093.252114
2,1604975093.456606,1604975093.456627
3,1604975093.66154,1604975093.661561
4,1604975094.070595,1604975094.070602
5,1604975094.18842,1604975094.188439
6,1604975094.480158,1604975094.480177
7,1604975094.890126,1604975094.890149
8,1604975095.299294,1604975095.299311
9,1604975095.503656,1604975095.503675
10,1604975095.708208,1604975095.708228
11,1604975095.913952,1604975095.913972
12,1604975096.118488,1604975096.118497
13,1604975096.324018,1604975096.32404
14,1604975096.688968,1604975096.688988
15,1604975097.142638,1604975097.142657
16,1604975097.347284,1604975097.34731
17,1604975097.553101,1604975097.553121
18,1604975097.757523,1604975097.757545
19,1604975098.376552,1604975098.37657
20,1604975098.496885,1604975098.496903
21,1604975098.698652,1604975098.698674
22,1604975098.985637,1604975098.985651
23,1604975099.19152,1604975099.191539
24,1604975099.600966,1604975099.600985
25,1604975100.010361,1604975100.01037
26,1604975100.21483,1604975100.21485
27,1604975100.419685,1604975100.419704
28,1604975100.624156,1604975100.624176
29,1604975100.829246,1604975100.829267
30,1604975101.034117,1604975101.03413
31,1604975101.238748,1604975101.238767
32,1604975101.442965,1604975101.442977
33,1604975101.648923,1604975101.648944
34,1604975102.057502,1604975102.057511
35,1604975102.263293,1604975102.263312
36,1604975102.467349,1604975102.467367
37,1604975102.876993,1604975102.877014
38,1604975103.286707,1604975103.286726
39,1604975103.697194,1604975103.697215
40,1604975104.106103,1604975104.106112
41,1604975104.311321,1604975104.31134
42,1604975104.515376,1604975104.515394
43,1604975104.720148,1604975104.720169
44,1604975104.925312,1604975104.92533
45,1604975105.130513,1604975105.130527
46,1604975105.334465,1604975105.334483
47,1604975105.539811,1604975105.53983
48,1604975105.744423,1604975105.744444
49,1604975105.948866,1604975105.948885
50,1604975106.153802,1604975106.153821
