id,server_rcv,server_send
1,1604975434.244206,1604975434.244228
2,1604975434.449722,1604975434.449742
3,1604975434.859784,1604975434.859809
4,1604975435.063675,1604975435.063683
5,1604975435.268261,1604975435.268283
6,1604975435.678307,1604975435.678318
7,1604975435.882853,1604975435.882874
8,1604975436.293034,1604975436.293056
9,1604975436.702724,1604975436.702745
10,1604975437.111768,1604975437.111776
11,1604975437.317006,1604975437.317027
12,1604975437.521241,1604975437.521262
13,1604975437.931653,1604975437.93168
14,1604975438.136211,1604975438.13622
15,1604975438.340772,1604975438.340796
16,1604975438.546924,1604975438.546945
17,1604975438.750535,1604975438.750557
18,1604975438.955011,1604975438.95502
19,1604975439.08859,1604975439.088598
20,1604975439.36494,1604975439.364961
21,1604975439.570193,1604975439.570216
22,1604975439.788416,1604975439.788439
23,1604975439.911916,1604975439.911939
24,1604975440.18357,1604975440.183592
25,1604975440.593513,1604975440.593542
26,1604975441.003472,1604975441.003493
27,1604975441.206963,1604975441.206983
28,1604975441.617743,1604975441.617763
29,1604975441.822924,1604975441.822948
30,1604975442.027319,1604975442.027329
31,1604975442.231922,1604975442.231932
32,1604975442.437292,1604975442.437318
33,1604975442.642096,1604975442.642121
34,1604975442.789527,1604975442.789549
35,1604975443.051332,1604975443.051341
36,1604975443.256204,1604975443.256225
37,1604975443.461742,1604975443.461766
38,1604975443.870639,1604975443.870645
39,1604975444.074529,1604975444.074537
40,1604975444.484522,1604975444.484549
41,1604975444.894319,1604975444.894339
42,1604975445.016334,1604975445.016354
43,1604975445.303425,1604975445.303445
44,1604975445.487906,1604975445.487925
45,1604975445.687811,1604975445.687832
46,1604975445.806597,1604975445.806649
47,1604975446.122541,1604975446.122552
48,1604975446.328667,1604975446.328688
49,1604975446.532577,1604975446.532599
50,1604975446.737545,1604975446.737556
51,1604975447.147015,1604975447.147032
52,1604975447.351871,1604975447.351891
53,1604975447.557638,1604975447.557665
54,1604975447.761866,1604975447.761893
55,1604975447.965817,1604975447.965838
56,1604975448.171579,1604975448.171627
57,1604975448.581208,1604975448.581228
58,1604975448.902863,1604975448.902872
59,1604975449.194981,1604975449.194999
60,1604975449.399916,1604975449.399936
61,1604975449.604207,1604975449.604228
62,1604975449.89549,1604975449.895511
63,1604975450.219309,1604975450.219328
64,1604975450.423545,1604975450.423567
65,1604975450.629096,1604975450.629118
