id,server_rcv,server_send
1,1604974740.987522,1604974740.987543
2,1604974741.403983,1604974741.404003
3,1604974741.60858,1604974741.608598
4,1604974741.813352,1604974741.813373
5,1604974742.017938,1604974742.017957
6,1604974742.222464,1604974742.222485
7,1604974742.428297,1604974742.428318
8,1604974742.632155,1604974742.632176
9,1604974742.836866,1604974742.83689
10,1604974743.246698,1604974743.246718
11,1604974743.451163,1604974743.451185
12,1604974743.656051,1604974743.656071
13,1604974743.861387,1604974743.861394
14,1604974744.270691,1604974744.270712
15,1604974744.68088,1604974744.680901
16,1604974744.88571,1604974744.885731
17,1604974745.295741,1604974745.295762
18,1604974745.499701,1604974745.499721
19,1604974745.704502,1604974745.704522
20,1604974746.11486,1604974746.114869
21,1604974746.523625,1604974746.523647
22,1604974746.7286,1604974746.728626
23,1604974746.931011,1604974746.931038
24,1604974747.138022,1604974747.138036
25,1604974747.385749,1604974747.385769
26,1604974747.500578,1604974747.500588
27,1604974747.958147,1604974747.958171
28,1604974748.162632,1604974748.162653
29,1604974748.367486,1604974748.367506
30,1604974748.498377,1604974748.498403
31,1604974748.785349,1604974748.785357
32,1604974748.986207,1604974748.986228
33,1604974749.390827,1604974749.390848
34,1604974749.595778,1604974749.595785
35,1604974750.005122,1604974750.005142
36,1604974750.210104,1604974750.210126
37,1604974750.414633,1604974750.414658
38,1604974750.620212,1604974750.620231
39,1604974750.886217,1604974750.886238
40,1604974751.23431,1604974751.23433
41,1604974751.439736,1604974751.439757
42,1604974751.643777,1604974751.643798
43,1604974751.853525,1604974751.853547
44,1604974752.053612,1604974752.05362
45,1604974752.258851,1604974752.258873
