memory,type,is_cold,exec_time,connection_time,client_time,provider_time
512,warm,False,1514859,0.116827,1684589,1524
512,warm,False,1485333,0.09745,1640005,1499
512,warm,False,1483545,0.142379,1682072,1489
512,warm,False,1500047,0.090877,1670852,1528
512,warm,False,1520625,0.119645,1798393,1613
512,warm,False,1394484,0.08614,1533588,1401
512,warm,False,1507477,0.124124,1700084,1520
512,warm,False,1380880,0.127334,1680863,1390
512,warm,False,1382286,0.146763,1684392,1485
512,warm,False,1410897,0.083003,1553061,1417
512,warm,False,1391418,0.080091,1560695,1398
512,warm,False,1366940,0.104165,1671081,1373
512,warm,False,1424513,0.095396,1578117,1430
512,warm,False,1431845,0.113573,1664729,1438
512,warm,False,1509157,0.134704,1699848,1519
512,warm,False,1481565,0.101843,1710357,1553
512,warm,False,1316469,0.127975,1584175,1323
512,warm,False,1786456,0.085188,1919853,1793
512,warm,False,1439393,0.090465,1597208,1444
512,warm,False,1512041,0.127459,1689433,1518
512,warm,False,1383663,0.147369,1595294,1391
512,warm,False,1435321,0.125806,1681670,1442
512,warm,False,1356101,0.089773,1543657,1364
512,warm,False,1442138,0.093881,1595223,1449
512,warm,False,1415838,0.114045,1583089,1423
512,warm,False,1453308,0.082819,1590847,1459
512,warm,False,1441561,0.087202,1581667,1449
512,warm,False,1347166,0.11358,1671319,1353
512,warm,False,1355891,0.134436,1587219,1363
512,warm,False,1332252,0.122093,1579193,1339
512,warm,False,1406969,0.115572,1672816,1411
512,warm,False,1323031,0.128434,1518853,1329
512,warm,False,1382646,0.120695,1685439,1387
512,warm,False,1484392,0.080939,1635366,1493
512,warm,False,1421548,0.093598,1656806,1517
512,warm,False,1519691,0.086817,1658711,1525
512,warm,False,1473684,0.090188,1615134,1479
512,warm,False,1567138,0.119778,1814441,1655
512,warm,False,1547101,0.129613,1728373,1553
512,warm,False,1542936,0.061102,1656589,1549
512,warm,False,1404853,0.07768,1558099,1433
512,warm,False,1371856,0.107125,1667353,1379
512,warm,False,1452167,0.084356,1591687,1458
512,warm,False,1514406,0.151753,1720451,1521
512,warm,False,1409565,0.125334,1679010,1416
512,warm,False,1437224,0.139967,1671814,1443
512,warm,False,1473107,0.122378,1667645,1481
