#Seconds from epoch.microseconds; Duration in miliseconds
Begin,End,Wallclock,User,Sys
1605059783.512930,1605059787.267195,3.729,3.101,0.249
1605059787.267753,1605059790.836140,3.529,3.094,0.309
1605059790.836685,1605059794.295719,3.457,3.110,0.267
1605059794.296290,1605059797.750858,3.416,3.082,0.283
1605059797.751469,1605059801.246054,3.456,3.183,0.169
1605059801.246715,1605059804.747300,3.462,3.220,0.154
1605059804.747999,1605059808.208229,3.421,3.164,0.137
1605059808.208946,1605059811.755497,3.507,3.285,0.177
1605059811.756251,1605059815.529606,3.734,3.335,0.199
1605059815.530397,1605059818.999435,3.430,3.116,0.223
1605059819.000279,1605059822.530212,3.491,3.133,0.221
1605059822.531099,1605059826.082130,3.512,3.131,0.236
1605059826.083076,1605059829.616315,3.490,3.089,0.304
1605059829.617289,1605059833.126401,3.470,3.134,0.172
1605059833.127427,1605059836.667574,3.501,3.032,0.345
1605059836.668661,1605059840.124629,3.417,3.095,0.199
1605059840.125851,1605059843.512633,3.384,3.066,0.241
1605059843.550658,1605059847.010825,3.421,3.119,0.179
1605059847.012059,1605059850.468723,3.418,3.017,0.326
1605059850.470084,1605059853.926329,3.417,3.128,0.202
1605059853.927685,1605059857.305965,3.376,2.959,0.279
1605059857.339966,1605059860.769018,3.427,3.171,0.137
1605059860.807109,1605059864.349280,3.540,3.119,0.332
1605059864.350929,1605059867.858938,3.433,3.006,0.308
1605059867.860603,1605059871.321088,3.458,3.122,0.286
1605059871.363600,1605059874.985912,3.620,3.175,0.172
1605059875.024314,1605059878.479779,3.416,3.071,0.239
1605059878.481674,1605059881.986226,3.429,3.111,0.240
1605059881.988145,1605059885.703225,3.639,3.197,0.227
1605059885.705396,1605059889.290512,3.546,3.269,0.196
1605059889.292601,1605059892.832701,3.464,3.199,0.178
1605059892.835063,1605059896.415513,3.505,3.300,0.152
1605059896.417859,1605059899.961138,3.468,3.198,0.149
1605059899.963565,1605059903.454358,3.415,3.024,0.305
1605059903.456815,1605059906.956697,3.424,3.136,0.174
1605059906.959329,1605059910.461714,3.423,3.131,0.148
1605059910.464372,1605059913.993127,3.453,3.042,0.242
1605059913.995941,1605059917.451023,3.379,3.019,0.232
1605059917.453894,1605059920.957033,3.423,2.988,0.308
1605059920.960142,1605059924.499245,3.464,3.189,0.151
1605059924.502368,1605059928.087217,3.546,3.148,0.272
1605059928.127720,1605059932.046983,3.843,3.393,0.258
1605059932.050252,1605059935.592746,3.463,3.177,0.176
1605059935.596086,1605059939.094493,3.459,2.985,0.236
1605059939.134513,1605059942.751323,3.541,3.264,0.151
1605059942.754937,1605059946.322323,3.528,3.160,0.263
1605059946.362698,1605059949.911635,3.465,3.148,0.170
1605059949.915417,1605059953.653361,3.662,3.273,0.217
1605059953.694031,1605059957.233014,3.500,3.172,0.211
1605059957.273922,1605059960.703114,3.390,3.147,0.198
1605059960.743928,1605059964.204645,3.422,3.238,0.134
1605059964.249682,1605059967.673990,3.385,3.073,0.194
1605059967.715143,1605059971.176886,3.423,3.110,0.173
